"predictor";"Species";"Farmland";"Woodland";"Ground";"Shrub";"Canopy";"Cavity";"Insect";"Granivor"
"(Intercept)";"1.086±0.115***";"0.118±0.171";"0.319±0.119**";"0.186±0.139";"-0.291±0.087***";"-0.542±0.155***";"-0.684±0.156***";"0.712±0.048***";"0.104±0.056·"
"distance_sc";"0.326±0.029***";"0.34±0.046***";"0.298±0.04***";"0.231±0.046***";"0.452±0.057***";"0.327±0.068***";"0.341±0.062***";"0.332±0.036***";"0.27±0.053***"
"e2_sc";"0.074±0.035*";"0.082±0.056";"0.114±0.051*";"0.105±0.059·";"0.111±0.057·";"-";"-";"0.13±0.038***";"-"
"e3_sc";"0.219±0.028***";"-";"0.407±0.043***";"0.098±0.047*";"0.267±0.054***";"0.25±0.068***";"0.324±0.059***";"0.287±0.034***";"0.085±0.053"
"field1";"0.152±0.079·";"0.209±0.126·";"0.163±0.114";"-";"-";"-";"0.403±0.164*";"-";"-"
"ruderal1";"0.216±0.077**";"-";"0.349±0.104***";"-";"0.272±0.127*";"-";"0.393±0.134**";"-";"-"
"water1";"0.183±0.064**";"0.201±0.103·";"0.213±0.102*";"0.357±0.1***";"-";"-";"-";"0.294±0.077***";"-"
"village_sc";"-0.066±0.032*";"-";"-0.08±0.049";"-";"-";"-0.159±0.082·";"-";"-";"-"
"traffic_sc";"-0.155±0.058**";"-0.157±0.086·";"-";"-";"0.186±0.058**";"-0.387±0.127**";"-";"-";"-"
"alt_sc";"-0.186±0.081*";"-";"-0.323±0.067***";"-";"-0.631±0.089***";"-";"-0.289±0.078***";"-0.175±0.047***";"-0.216±0.063***"
"forest_sc";"-";"-";"-";"-";"-";"0.144±0.073*";"-";"-";"-"
